Timestamp,Apartment,Estella E 1106 - Common Geyser,Estella E 1106 - Common Toilet Lighting,Estella E 1106 - Dining Lights and Fans,Estella E 1106 - ELV DB Point,Estella E 1106 - Fridge,Estella E 1106 - Kitchen Lights and Fans,Estella E 1106 - Living AC Point,Estella E 1106 - Living Lights and Fans,Estella E 1106 - Master Bed AC,Estella E 1106 - Master Bed Lights and Fans,Estella E 1106 - Master Bed Toilet Lights and Fans,Estella E 1106 - Master Geyser,Estella E 1106 - Others,Estella E 1106 - Oven Point,Estella E 1106 - Spare,Estella E 1106 - Washing Machine
2025-09-18 12:55:00,Estella E 1106,0.0,0.0,,0.0,0.03982,,,,0.0,0.0,0.0,0.0,0.055020000000000006,,0.0,0.0
2025-09-18 13:00:00,Estella E 1106,0.0,0.0,0.0,0.0,0.038340000000000006,0.0,0.0,0.00936,0.0,0.0,0.0,0.0,0.05323,0.0,0.0,0.0
2025-09-18 13:05:00,Estella E 1106,0.0,0.0,,0.0,0.03773,,,,0.0,0.0,0.0,0.0,0.05271,,0.0,0.0
2025-09-18 13:10:00,Estella E 1106,0.0,0.0,,0.0,0.03724,,,,0.0,0.0,0.0,0.0,0.05215,,0.0,0.0
2025-09-18 13:15:00,Estella E 1106,0.0,0.0,,0.0,0.03756,,,,0.0,0.0,0.0,0.0,0.05242,,0.0,0.0
2025-09-18 13:20:00,Estella E 1106,0.0,0.0,,0.0,0.03693,,,,0.0,0.0,0.0,0.0,0.05189,,0.0,0.0
2025-09-18 13:25:00,Estella E 1106,0.0,0.0,,0.0,0.0373,,,,0.0,0.0,0.0,0.0,0.05228,,0.0,0.0
2025-09-18 13:30:00,Estella E 1106,0.0,0.0,,0.0,0.037689999999999994,,,,0.0,0.0,0.0,0.0,0.08585,,0.0,0.0
2025-09-18 13:35:00,Estella E 1106,0.0,0.0,,0.0,0.03756,,,,0.0,0.0,0.0,0.0,0.08426,,0.0,0.0
2025-09-18 13:40:00,Estella E 1106,0.0,0.0,,0.0,0.03696,,,,0.0,0.0,0.0,0.0,0.08304,,0.0,0.0
2025-09-18 13:45:00,Estella E 1106,0.0,0.0,,0.0,0.00017999999999999998,,,,0.0,0.0,0.02271,0.0,0.038700000000000005,,0.0,0.0
2025-09-18 13:50:00,Estella E 1106,0.0,0.0,,0.0,0.00026000000000000003,,,,0.0,0.0,0.02233,0.0,0.03864,,0.0,0.0
2025-09-18 13:55:00,Estella E 1106,0.0,0.0,,0.0,0.03798,,,,0.0,0.0,0.02209,0.0,0.15935,,0.0,0.0
2025-09-18 14:00:00,Estella E 1106,0.0,0.0,,0.0,0.03853,,,,0.0,0.0,0.022019999999999998,0.0,0.15552000000000002,,0.0,0.0
2025-09-18 14:05:00,Estella E 1106,0.0,0.0,,0.0,0.038799999999999994,,,,0.0,0.0,0.038869999999999995,0.0,0.17693,,0.0,0.0
2025-09-18 14:10:00,Estella E 1106,0.0,0.0,,0.0,0.00013000000000000002,,,,0.0,0.0,0.03842,0.0,0.17628,,0.0,0.0
2025-09-18 14:15:00,Estella E 1106,0.0,0.0,,0.0,0.037759999999999995,,,,0.0,0.0,0.037899999999999996,0.0,0.10790000000000001,,0.0,0.0
2025-09-18 14:20:00,Estella E 1106,0.0,0.0,,0.0,0.038200000000000005,,,,0.0,0.0,0.037689999999999994,0.0,0.09173999999999999,,0.0,0.0
2025-09-18 14:25:00,Estella E 1106,0.0,0.0,,0.0,0.036770000000000004,,,,0.0,0.0,0.03748,0.0,0.08971,,0.0,0.0
2025-09-18 14:30:00,Estella E 1106,0.0,0.0,,0.0,0.03641,,,,0.0,0.0,0.03754,0.0,0.08907,,0.0,0.0
2025-09-18 14:35:00,Estella E 1106,0.0,0.0,,0.0,0.03596,,,,0.0,0.0,0.037270000000000005,0.0,0.08572,,0.0,0.0
2025-09-18 14:40:00,Estella E 1106,0.0,0.0,,0.0,0.00011,,,,0.0,0.0,0.037090000000000005,0.0,0.0864,,0.0,0.0
2025-09-18 14:45:00,Estella E 1106,0.0,0.0,,0.0,8.999999999999999e-05,,,,0.0,0.0,0.03725,0.0,0.05192,,0.0,0.0
2025-09-18 14:50:00,Estella E 1106,0.0,0.0,,0.0,0.00013000000000000002,,,,0.0,0.0,0.03694,0.0,0.051590000000000004,,0.0,0.0
2025-09-18 14:55:00,Estella E 1106,0.0,0.0,,0.0,0.00017999999999999998,,,,0.0,0.0,0.03686,0.0,0.05116,,0.0,0.0
2025-09-18 15:00:00,Estella E 1106,0.0,0.0,,0.0,0.03811,,,,0.0,0.0,0.036950000000000004,0.0,0.09866,,0.0,0.0
2025-09-18 15:05:00,Estella E 1106,0.0,0.0,,0.0,0.03867,,,,0.0,0.0,0.037270000000000005,0.0,0.08832999999999999,,0.0,0.0
2025-09-18 15:10:00,Estella E 1106,0.0,0.0,,0.0,0.03875,,,,0.0,0.0,0.03665,0.0,0.08738,,0.0,0.0
2025-09-18 15:15:00,Estella E 1106,,,,,,,,,0.0,0.0,0.03685,0.0,0.09276999999999999,,0.0,
2025-09-18 15:20:00,Estella E 1106,0.0,0.0,,0.0,0.07618,,,,0.0,0.0,0.07374,0.0,0.15708000000000003,,0.0,0.0
2025-09-18 15:25:00,Estella E 1106,0.0,0.0,,0.0,0.03603,,,,0.0,0.0,0.03673,0.0,0.07740999999999999,,0.0,0.0
2025-09-18 15:30:00,Estella E 1106,0.0,0.0,,0.0,0.03696,,,,0.0,0.0,0.0368,0.0,0.07717,,0.0,0.0
2025-09-18 15:35:00,Estella E 1106,0.0,0.0,,0.0,0.03592,,,,0.0,0.0,0.03681,0.0,0.07756,,0.0,0.0
2025-09-18 15:40:00,Estella E 1106,,,,,,,,,0.0,0.0,0.036789999999999996,0.0,0.052,,0.0,
2025-09-18 15:45:00,Estella E 1106,0.0,0.05958,0.0,0.0,0.00026000000000000003,0.0,0.0,0.0,0.0,0.0,0.07324,0.0,0.148,0.0,0.0,0.0
2025-09-18 15:50:00,Estella E 1106,0.0,0.0,0.0,0.0,0.00013000000000000002,0.0,0.0,0.0,0.0,0.0,0.03656,0.0,0.07219,0.0,0.0,0.0
2025-09-18 15:55:00,Estella E 1106,0.0,0.0,,0.0,8.999999999999999e-05,,,,0.0,0.0,0.0,0.0,0.00613,,0.0,0.0
2025-09-18 16:00:00,Estella E 1106,,,,,,,,,0.0,0.0,0.0,0.0,0.04226,,0.0,
2025-09-18 16:05:00,Estella E 1106,0.0,0.0,,0.0,0.038009999999999995,,,,0.0,0.0,0.0,0.0,0.07740999999999999,,0.0,0.0
2025-09-18 16:10:00,Estella E 1106,0.0,0.0,,0.0,0.08055000000000001,,,,0.0,0.0,0.0,0.0,0.15586000000000003,,0.0,0.0
2025-09-18 16:15:00,Estella E 1106,0.0,0.0,,0.0,0.04033,,,,0.0,0.0,0.0,0.0,0.07814,,0.0,0.0
2025-09-18 16:20:00,Estella E 1106,0.0,0.0,,0.0,0.04009,,,,0.0,0.0,0.0,0.0,0.0783,,0.0,0.0
2025-09-18 16:25:00,Estella E 1106,0.0,0.0,,0.0,0.07483000000000001,,,,0.0,0.0,0.0,0.0,0.1507,,0.0,0.0
2025-09-18 16:30:00,Estella E 1106,,,,,,,,,0.0,0.0,0.0,0.0,0.15162,,0.0,
2025-09-18 16:35:00,Estella E 1106,0.0,0.0,,0.0,0.07225000000000001,,,,0.0,0.0,0.0,0.0,0.14830000000000002,,0.0,0.0
2025-09-18 16:40:00,Estella E 1106,0.0,0.0,,0.0,0.03561,,,,0.0,0.0,0.0,0.0,0.07318000000000001,,0.0,0.0
2025-09-18 16:45:00,Estella E 1106,0.0,0.0,,0.0,0.00016,,,,0.0,0.0,0.0,0.0,0.07934999999999999,,0.0,0.0
2025-09-18 16:50:00,Estella E 1106,0.0,0.0,0.07478,0.0,0.00013000000000000002,0.0,0.0,0.03897,0.0,0.0,0.0,0.0,0.12064,0.0,0.0,0.0
2025-09-18 16:55:00,Estella E 1106,0.0,0.0,0.07289,0.0,0.00013000000000000002,0.0,0.0,0.08399,0.0,0.0,0.0,0.0,0.16069999999999998,0.0,1e-05,0.0
2025-09-18 17:00:00,Estella E 1106,0.0,0.0,,0.0,0.03662,,,,0.0,0.0,0.03574,0.0,0.25229,,0.0,0.0
2025-09-18 17:05:00,Estella E 1106,0.0,0.0,0.033710000000000004,0.0,0.037899999999999996,0.05101,0.0,0.08236,0.0,0.0,0.03534,0.0,0.24703999999999998,0.0,0.0,0.0
2025-09-18 17:10:00,Estella E 1106,0.0,0.0,0.03358,0.0,0.03964,0.04992,0.0,0.08208,0.0,0.0,0.03508,0.0,0.24677000000000002,0.0,0.0,0.0
2025-09-18 17:15:00,Estella E 1106,0.0,0.0,,0.0,0.041350000000000005,,,,0.0,0.0,0.0,0.0,0.16291999999999998,,0.0,0.0
2025-09-18 17:20:00,Estella E 1106,0.0,0.0,0.033030000000000004,0.0,0.04131,0.0,0.0,0.038020000000000005,0.0,0.0,0.0,0.0,0.11837,0.0,0.0,0.0
2025-09-18 17:25:00,Estella E 1106,0.0,0.0,0.03357,0.0,0.041030000000000004,0.0,0.0,0.037829999999999996,0.0,0.0,0.0,0.0,0.11807,0.0,0.0,0.0
2025-09-18 17:30:00,Estella E 1106,0.0,0.0,,0.0,0.040420000000000005,,,,0.0,0.0,0.0,0.0,0.11803,,0.0,0.0
2025-09-18 17:35:00,Estella E 1106,0.0,0.0,,0.0,0.0384,,,,0.0,0.0,0.039020000000000006,0.0,0.16522,,0.0,0.0
2025-09-18 17:40:00,Estella E 1106,0.0,0.0,,0.0,0.0371,,,,0.0,0.0,0.03782,0.0,0.13028,,0.0,0.0
2025-09-18 17:45:00,Estella E 1106,0.0,0.0,,0.0,0.036340000000000004,,,,0.00956,0.0,0.08626,0.0,0.18821000000000002,,0.0,0.0
2025-09-18 17:50:00,Estella E 1106,0.0,0.0,0.03295,0.0,0.03563,0.016190000000000003,0.0,0.0,0.0,0.0,0.037399999999999996,0.0,0.12825999999999999,0.0,0.0,0.0
2025-09-18 17:55:00,Estella E 1106,0.0,0.0,,0.0,0.03529,,,,0.0,0.0,0.0375,0.0,0.12871000000000002,,0.0,0.0
2025-09-18 18:00:00,Estella E 1106,0.0,0.0,,0.0,8.999999999999999e-05,,,,0.0,0.0,0.03726,0.0,0.09441,,0.0,0.0
2025-09-18 18:05:00,Estella E 1106,0.0,0.0,,0.0,0.00011,,,,0.0,0.0,0.0,0.0,0.1009,,0.0,0.0
2025-09-18 18:10:00,Estella E 1106,0.0,0.0,,0.0,0.05054,,,,0.0,0.0,0.03555,0.0,0.13116,,0.0,0.0
2025-09-18 18:15:00,Estella E 1106,0.0,0.0,,0.0,0.038200000000000005,,,,0.0,0.0,0.0,0.0,0.13143000000000002,,0.0,0.0
2025-09-18 18:20:00,Estella E 1106,0.0,0.0,,0.0,0.038939999999999995,,,,0.00949,0.0,0.0,0.0,0.13097999999999999,,0.0,0.0
2025-09-18 18:25:00,Estella E 1106,0.0,0.0,0.03311,0.0,0.03914,0.00419,0.0,0.04296,0.00942,0.0,0.0,0.0,0.13588,0.0,0.0,0.0
2025-09-18 18:30:00,Estella E 1106,0.0,0.01775,0.03312,0.0,0.039409999999999994,0.0,0.0,0.0429,0.00939,0.0,0.0,0.0,0.13058,0.0,0.0,0.0
2025-09-18 18:35:00,Estella E 1106,0.0,0.0,0.033030000000000004,0.0,0.038939999999999995,0.0,0.0,0.04295,0.0,0.0,0.0,0.0,0.13713,0.0,0.0,0.0
2025-09-18 18:40:00,Estella E 1106,0.0,0.00885,,0.0,0.03657,,,,0.0,0.0,0.0,0.0,0.12849000000000002,,0.0,0.0
2025-09-18 18:45:00,Estella E 1106,0.0,0.00873,,0.0,0.03553,,,,0.0,0.0,0.0,0.0,0.12741,,0.0,0.0
2025-09-18 18:50:00,Estella E 1106,0.0,0.0,,0.0,0.03498,,,,0.0,0.0,0.0,0.0,0.12659,,0.0,0.0
2025-09-18 18:55:00,Estella E 1106,0.0,0.0,,0.0,8.999999999999999e-05,,,,0.0,0.0,0.0,0.0,0.08284,,0.0,0.0
2025-09-18 19:00:00,Estella E 1106,0.0,0.0,,0.0,7.000000000000001e-05,,,,0.0,0.0,0.0,0.0,0.08306000000000001,,0.0,0.0
2025-09-18 19:05:00,Estella E 1106,0.0,0.0,,0.0,8e-05,,,,0.0,0.0,0.0,0.0,0.08278,,0.0,0.0
2025-09-18 19:10:00,Estella E 1106,0.0,0.0,,0.0,0.03753,,,,0.0,0.0,0.0,0.0,0.11866,,0.0,0.0
2025-09-18 19:15:00,Estella E 1106,0.0,0.0088,,0.0,0.0381,,,,0.0,0.0,0.0,0.0,0.13028,,0.0,0.0
2025-09-18 19:20:00,Estella E 1106,0.0,0.00876,,0.0,0.03835,,,,0.0,0.0,0.0,0.0,0.1399,,0.0,0.0
2025-09-18 19:25:00,Estella E 1106,,,0.03311,,,0.00889,0.0,0.04284,0.0,0.0,0.0,0.0,0.13043000000000002,0.0,0.0,
2025-09-18 19:30:00,Estella E 1106,0.0,0.0,0.03312,0.0,0.038630000000000005,0.00875,0.0,0.04291,0.0,0.0,0.0,0.0,0.12991,0.0,0.0,0.0
2025-09-18 19:35:00,Estella E 1106,0.0,0.0,,0.0,0.07300999999999999,,,,0.0,0.0,0.0,0.0,0.25458000000000003,,0.0,0.0
2025-09-18 19:40:00,Estella E 1106,0.0,0.0,,0.0,0.03499,,,,0.0,0.0,0.0,0.0,0.1267,,0.0,0.0
